COD_COUNTRY;NAME_COUNTRY;COD_REGION
4;Afghanistan;5501
8;Albania;925
12;Algeria;912
16;American Samoa;957
20;Andorra;925
24;Angola;911
660;Anguilla;915
28;Antigua and Barbuda;915
32;Argentina;931
51;Armenia;922
533;Aruba;915
36;Australia;927
40;Austria;926
31;Azerbaijan;922
44;Bahamas;915
48;Bahrain;922
50;Bangladesh;5501
52;Barbados;915
112;Belarus;923
56;Belgium;926
84;Belize;916
204;Benin;914
60;Bermuda;905
64;Bhutan;5501
68;Bolivia (Plurinational State of);931
70;Bosnia and Herzegovina;925
72;Botswana;913
76;Brazil;931
92;British Virgin Islands;915
96;Brunei Darussalam;920
100;Bulgaria;923
854;Burkina Faso;914
108;Burundi;910
116;Cambodia;920
120;Cameroon;911
124;Canada;905
132;Cabo Verde;914
535;Bonaire, Sint Eustatius and Saba;915
136;Cayman Islands;915
140;Central African Republic;911
148;Chad;911
830;Channel Islands;924
152;Chile;931
156;China;906
344;China, Hong Kong Special Administrative Region;906
446;China, Macao Special Administrative Region;906
170;Colombia;931
174;Comoros;910
178;Congo;911
184;Cook Islands;957
188;Costa Rica;916
384;Côte d'Ivoire;914
191;Croatia;925
192;Cuba;915
531;Curaçao;915
196;Cyprus;922
203;Czech Republic;923
408;Democratic People's Republic of Korea;906
180;Democratic Republic of the Congo;911
208;Denmark;924
262;Djibouti;910
212;Dominica;915
214;Dominican Republic;915
218;Ecuador;931
818;Egypt;912
222;El Salvador;916
226;Equatorial Guinea;911
232;Eritrea;910
233;Estonia;924
231;Ethiopia;910
234;Faeroe Islands;924
238;Falkland Islands (Malvinas);931
242;Fiji;928
246;Finland;924
250;France;926
254;French Guiana;931
258;French Polynesia;957
266;Gabon;911
270;Gambia;914
268;Georgia;922
276;Germany;926
288;Ghana;914
292;Gibraltar;925
300;Greece;925
304;Greenland;905
308;Grenada;915
312;Guadeloupe;915
316;Guam;954
320;Guatemala;916
324;Guinea;914
624;Guinea-Bissau;914
328;Guyana;931
332;Haiti;915
336;Holy See;925
340;Honduras;916
348;Hungary;923
352;Iceland;924
356;India;5501
360;Indonesia;920
364;Iran (Islamic Republic of);5501
368;Iraq;922
372;Ireland;924
833;Isle of Man;924
376;Israel;922
380;Italy;925
388;Jamaica;915
392;Japan;906
400;Jordan;922
398;Kazakhstan;5500
404;Kenya;910
296;Kiribati;954
414;Kuwait;922
417;Kyrgyzstan;5500
418;Lao People's Democratic Republic;920
428;Latvia;924
422;Lebanon;922
426;Lesotho;913
430;Liberia;914
434;Libya;912
438;Liechtenstein;926
440;Lithuania;924
442;Luxembourg;926
450;Madagascar;910
454;Malawi;910
458;Malaysia;920
462;Maldives;5501
466;Mali;914
470;Malta;925
584;Marshall Islands;954
474;Martinique;915
478;Mauritania;914
480;Mauritius;910
175;Mayotte;910
484;Mexico;916
583;Micronesia (Federated States of);954
492;Monaco;926
496;Mongolia;906
499;Montenegro;925
500;Montserrat;915
504;Morocco;912
508;Mozambique;910
104;Myanmar;920
516;Namibia;913
520;Nauru;954
524;Nepal;5501
528;Netherlands;926
540;New Caledonia;928
554;New Zealand;927
558;Nicaragua;916
562;Niger;914
566;Nigeria;914
570;Niue;957
580;Northern Mariana Islands;954
578;Norway;924
512;Oman;922
586;Pakistan;5501
585;Palau;954
591;Panama;916
598;Papua New Guinea;928
600;Paraguay;931
604;Peru;931
608;Philippines;920
616;Poland;923
620;Portugal;925
630;Puerto Rico;915
634;Qatar;922
410;Republic of Korea;906
498;Republic of Moldova;923
638;Réunion;910
642;Romania;923
643;Russian Federation;923
646;Rwanda;910
654;Saint Helena;914
659;Saint Kitts and Nevis;915
662;Saint Lucia;915
666;Saint Pierre and Miquelon;905
670;Saint Vincent and the Grenadines;915
882;Samoa;957
674;San Marino;925
678;Sao Tome and Principe;911
682;Saudi Arabia;922
686;Senegal;914
688;Serbia;925
690;Seychelles;910
694;Sierra Leone;914
702;Singapore;920
534;Sint Maarten (Dutch part);915
703;Slovakia;923
705;Slovenia;925
90;Solomon Islands;928
706;Somalia;910
710;South Africa;913
728;South Sudan;910
724;Spain;925
144;Sri Lanka;5501
275;State of Palestine;922
729;Sudan;912
740;Suriname;931
748;Swaziland;913
752;Sweden;924
756;Switzerland;926
760;Syrian Arab Republic;922
762;Tajikistan;5500
764;Thailand;920
807;The former Yugoslav Republic of Macedonia;925
626;Timor-Leste;920
768;Togo;914
772;Tokelau;957
776;Tonga;957
780;Trinidad and Tobago;915
788;Tunisia;912
792;Turkey;922
795;Turkmenistan;5500
796;Turks and Caicos Islands;915
798;Tuvalu;957
800;Uganda;910
804;Ukraine;923
784;United Arab Emirates;922
826;United Kingdom of Great Britain and Northern Ireland;924
834;United Republic of Tanzania;910
840;United States of America;905
850;United States Virgin Islands;915
858;Uruguay;931
860;Uzbekistan;5500
548;Vanuatu;928
862;Venezuela (Bolivarian Republic of);931
704;Viet Nam;920
876;Wallis and Futuna Islands;957
732;Western Sahara;912
887;Yemen;922
894;Zambia;910
716;Zimbabwe;910
